Species,Longitude,Latitude,populations,GARP_C_N,GARP_ALL,GBM_C_N,GBM_ALL,MAXENT_C_N,GLM_ALL,KDE_C_N,KDE_ALL,MAXENT_ALL,NICHEA_ALL,NICHEA_C_N,GLM_C_N
Lycalopex_fulvipes,-73.7875,-43.020833,Chiloe,1.0,1.0,0.8691954612731934,0.8241398930549622,0.5372490286827087,0.824999988079071,1.0,1.0,0.5537289977073669,0.0034285716246813536,0.007047619204968214,0.7480000257492065
Lycalopex_fulvipes,-74.2875,-43.145833,Chiloe,1.0,1.0,0.7776944637298584,0.754403293132782,0.7471969723701477,0.949999988079071,1.0,1.0,0.7847769856452942,5.714285653084517E-4,9.523809421807528E-4,0.9430000185966492
Lycalopex_fulvipes,-74.145833,-42.829167,Chiloe,1.0,1.0,0.6211004853248596,0.8086526989936829,0.6228880286216736,0.921999990940094,1.0,1.0,0.664825975894928,0.0029523810371756554,0.005714286118745804,0.890999972820282
Lycalopex_fulvipes,-73.604167,-41.995833,Chiloe,1.0,1.0,0.41791319847106934,0.7098680138587952,0.37103399634361267,0.847000002861023,1.0,1.0,0.43828898668289185,0.003238095436245203,0.0051428573206067085,0.746999979019165
Lycalopex_fulvipes,-74.195833,-43.145833,Chiloe,1.0,0.699999988079071,0.7701528072357178,0.4015405476093292,0.6743379831314087,0.8989999890327454,1.0,1.0,0.695281982421875,6.666667177341878E-4,0.0012380952248349786,0.8849999904632568
Lycalopex_fulvipes,-74.054167,-42.145833,Chiloe,1.0,1.0,0.9691506624221802,0.9463871717453003,0.6871740221977234,0.9100000262260437,1.0,1.0,0.7384459972381592,0.0015238096239045262,0.004095238167792559,0.8579999804496765
Lycalopex_fulvipes,-74.054167,-42.104167,Chiloe,1.0,1.0,0.9646831750869751,0.9464450478553772,0.6756229996681213,0.9089999794960022,1.0,1.0,0.7336789965629578,0.0012380952248349786,0.0037142857909202576,0.8569999933242798
Lycalopex_fulvipes,-73.9625,-43.120833,Chiloe,1.0,1.0,0.904769241809845,0.8811482787132263,0.6564159989356995,0.8180000185966492,1.0,1.0,0.6399940252304077,0.0025714286603033543,0.005904762074351311,0.7580000162124634
Lycalopex_fulvipes,-74.120833,-43.354167,Chiloe,1.0,1.0,0.8339568376541138,0.9612935781478882,0.8817239999771118,0.9589999914169312,1.0,1.0,0.8920360207557678,5.714285653084517E-4,0.004095238167792559,0.9520000219345093
Lycalopex_fulvipes,-73.729167,-43.054167,Chiloe,1.0,1.0,0.9313942193984985,0.9089886546134949,0.6101549863815308,0.871999979019165,1.0,1.0,0.6289179921150208,0.0033333334140479565,0.0071428571827709675,0.8100000023841858
Lycalopex_fulvipes,-74.0125,-42.645833,Chiloe,1.0,1.0,0.8303287029266357,0.43820106983184814,0.3508549928665161,0.8090000152587891,1.0,1.0,0.35436099767684937,0.004571428522467613,0.007809523958712816,0.7110000252723694
Lycalopex_fulvipes,-74.0125,-43.129167,Chiloe,1.0,1.0,0.915655791759491,0.9286074042320251,0.660256028175354,0.8619999885559082,1.0,1.0,0.6576550006866455,0.002857143059372902,0.006380952429026365,0.8069999814033508
Lycalopex_fulvipes,-74.0125,-43.1375,Chiloe,1.0,1.0,0.8599634766578674,0.9402898550033569,0.7080579996109009,0.8659999966621399,1.0,1.0,0.6995369791984558,0.0023809524718672037,0.005619047675281763,0.8209999799728394
Lycalopex_fulvipes,-74.0125,-42.0625,Chiloe,1.0,0.8999999761581421,0.9071895480155945,0.4826160669326782,0.5516290068626404,0.8809999823570251,1.0,1.0,0.6341279745101929,7.619048119522631E-4,0.0017142858123406768,0.8069999814033508
Lycalopex_fulvipes,-73.995833,-42.004167,Chiloe,1.0,1.0,0.7619169354438782,0.7915807366371155,0.4634929895401001,0.8289999961853027,1.0,1.0,0.5326120257377625,0.0013333334354683757,0.0025714286603033543,0.7250000238418579
Lycalopex_fulvipes,-73.995833,-43.129167,Chiloe,1.0,1.0,0.8573533892631531,0.9435161352157593,0.704662024974823,0.8700000047683716,1.0,1.0,0.6981260180473328,0.002476190449669957,0.005809524096548557,0.8240000009536743
Lycalopex_fulvipes,-74.1375,-42.720833,Chiloe,1.0,1.0,0.6294674277305603,0.6433190107345581,0.6194869875907898,0.9509999752044678,1.0,1.0,0.7030720114707947,0.003142857225611806,0.006476190872490406,0.9300000071525574
Lycalopex_fulvipes,-74.279167,-43.145833,Chiloe,1.0,1.0,0.8337452411651611,0.825045108795166,0.7533869743347168,0.9490000009536743,1.0,1.0,0.7891759872436523,6.666667177341878E-4,0.0012380952248349786,0.9409999847412109
Lycalopex_fulvipes,-73.904167,-42.395833,Chiloe,1.0,1.0,0.6342145204544067,0.5512353777885437,0.2050050050020218,0.6290000081062317,1.0,1.0,0.2358819991350174,0.004190476145595312,0.006761904805898666,0.49399998784065247
Lycalopex_fulvipes,-74.045833,-42.104167,Chiloe,1.0,1.0,0.9155406355857849,0.838096022605896,0.5806139707565308,0.8840000033378601,1.0,1.0,0.6498420238494873,0.0013333334354683757,0.002761904848739505,0.8119999766349792
Lycalopex_fulvipes,-73.504167,-42.0125,Chiloe,1.0,1.0,0.40055760741233826,0.46708956360816956,0.3598330020904541,0.8679999709129333,1.0,1.0,0.45308399200439453,0.0037142857909202576,0.005428571719676256,0.7789999842643738
Lycalopex_fulvipes,-73.954167,-43.120833,Chiloe,1.0,1.0,0.9105194807052612,0.9320856332778931,0.6364369988441467,0.8539999723434448,1.0,1.0,0.638493001461029,0.0030476192478090525,0.006761904805898666,0.7919999957084656
Lycalopex_fulvipes,-73.954167,-43.1125,Chiloe,1.0,1.0,0.8947017192840576,0.8892034888267517,0.6564630270004272,0.8180000185966492,1.0,1.0,0.6402890086174011,0.0025714286603033543,0.005904762074351311,0.7570000290870667
Lycalopex_fulvipes,-73.954167,-42.745833,Chiloe,1.0,1.0,0.7495092749595642,0.7534871697425842,0.5353090167045593,0.9259999990463257,1.0,1.0,0.6074450016021729,0.003904761979356408,0.007333333604037762,0.8870000243186951
Lycalopex_fulvipes,-74.004167,-43.129167,Chiloe,1.0,1.0,0.8450638055801392,0.8935187458992004,0.6958659887313843,0.8479999899864197,1.0,1.0,0.6807529926300049,0.0023809524718672037,0.00552380969747901,0.7979999780654907
Lycalopex_fulvipes,-74.079167,-42.579167,Chiloe,1.0,1.0,0.7722671031951904,0.8190978765487671,0.4364889860153198,0.8799999952316284,1.0,1.0,0.4967060089111328,0.004380952566862106,0.007809523958712816,0.8100000023841858
